,precision,recall,f1-score,support
S0,0.9444444444444444,1.0,0.9714285714285714,17.0
S1,1.0,1.0,1.0,3.0
S2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
S3,0.7777777777777778,1.0,0.875,14.0
S4,0.5,0.3333333333333333,0.4,3.0
micro avg,0.8653846153846154,0.9375,0.9,48.0
macro avg,0.8262626262626263,0.8484848484848484,0.8311038961038962,48.0
weighted avg,0.8634259259259259,0.9375,0.8950892857142857,48.0
samples avg,0.8833333333333332,0.9416666666666667,0.9028571428571428,48.0
