productName,UUID,S0,S1,S2,S3,S4
Lehmbauplatte mit CL-Nachweis,c0915390-0e80-4253-9345-71fd83ef3c99,0.78,0.35,0.89,0.515,0.09
Brandschutzglas F30,7f39809a-407d-41cc-b0e7-c7e67faff54b,0.93,0.145,0.345,0.61,0.045
PE/PP Vlies,42d6f768-fb28-4105-ad21-078cc7af27a6,1.0,0.0,0.0,1.0,0.0
"Lehmputz, kunststofffaserarmiert",422b2446-8a3f-457d-b47b-4728b2869d86,0.98,0.16,0.85,0.65,0.185
EVA-Dachbahnen,d1ab548a-3626-4667-9690-baff659e10d5,1.0,0.0,0.0,1.0,0.0
ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies),dcde634c-51b1-4d94-9206-cba9f9fd6822,1.0,0.0,0.0,1.0,0.0
Lehmstein mit CL-Nachweis,4c009f04-44e1-42e3-a32e-4929294debab,0.97,0.19,0.88,0.57,0.175
Dampfbremse PET gitterverstÃ¤rkt,28a26228-4acd-4bba-b62c-54a54c35526f,1.0,0.0,0.0,1.0,0.0
Stampflehmwand mit CL-Nachweis,4b42a944-ff7e-4540-a46b-c21074255143,0.97,0.19,0.88,0.57,0.175
Unterspannbahn PUR auf PET-Vlies,1d6be2f4-3c85-4318-a712-1ee0198168eb,1.0,0.0,0.0,1.0,0.0
LÃ¶semittellack weiÃ,c307b6f8-af7a-44df-a093-1f8ba2a73fb9,1.0,0.0,0.57,0.42,0.0
BlÃ¤hton LB Planstein AuÃenwand,23fc083c-960d-4d31-a509-f383e01c3179,0.955,0.055,0.915,0.945,0.005
Lacksysteme Holzfenster Zwischenbeschichtung deckend weiÃ,b4a1a7a4-d5b2-4abe-85d8-88506b234a4d,1.0,0.0,0.57,0.42,0.0
Transparente Platten PVC,2e60360a-61f1-4d86-a537-a50a3d4165ba,0.035,0.97,0.025,0.025,0.0
"Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil)",7fc79af4-8de4-44f8-9bf7-69cd5532fca5,0.995,0.0,0.22,0.695,0.0
Kunststofftrahmen PVC [kg/mÂ² Rahmen],73de9e80-8ed2-47d8-b5b6-854c84166f24,0.035,0.97,0.025,0.025,0.0
Kupferbleche,e5a4ebf9-0e5c-4fd8-bb04-1acb5497312f,0.88,0.0,0.95,0.025,0.005
Blendrahmen PVC-U,d8aa07b1-b3aa-41b0-a17b-f8f5e15f37f3,0.035,0.97,0.025,0.025,0.0
BlÃ¤hton LB Planstein Innenwand,5c400482-2153-45e8-a4d2-e10a9338909b,0.97,0.11,0.83,0.445,0.12
Lacksysteme Holzfassade deckend (Decklacksystem),10c87a16-01f1-4948-9d52-45e364d28534,1.0,0.0,0.57,0.42,0.0
Schaumbeton DÃ¤mmplatten,9b619143-9ea3-4573-9839-b6ebd75c71a1,0.99,0.015,0.99,0.015,0.005
Lacksysteme Holzfassade halb-pigmentiert (Lasursystem),d0f21725-9c8e-41b7-9e38-83878b95930b,1.0,0.0,0.57,0.42,0.0
Porenbeton MineraldÃ¤mmplatte,414d0e5b-7628-466c-89d3-56e107b60aa6,0.885,0.505,0.985,0.34,0.28
Expandierte Perlit-DÃ¤mmplatten fÃ¼r den Innenbereich,5d087386-ed6b-4786-b37b-87164384927b,0.885,0.505,0.985,0.34,0.28
Lacksysteme Holzfenster Decklack weiÃ,b98e2a9b-fc58-44a5-af19-149f560bee8d,1.0,0.0,0.57,0.42,0.0
Calciumsilikatplatte,af3510f4-3c5d-45a4-8162-16df43aaca34,0.885,0.505,0.985,0.34,0.28
Kalk-Gips-Innenputz auf Gipsbaustoff,9a670d29-efb9-4fde-95ab-182a0b1e7280,0.915,0.215,0.58,0.67,0.14
Leichtbetonstein aus 100% Naturbims,a1deced7-6fa9-4266-bc86-da75b3653b06,0.955,0.055,0.915,0.945,0.005
